------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                         CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
cudnn_convolution_backward                  556.331us       2653.125us                1        556.331us       2653.125us
torch::autograd::AccumulateGrad              10.167us          1.562us                1         10.167us          1.562us
torch::autograd::AccumulateGrad               7.094us          1.562us                1          7.094us          1.562us
MaxPool2DWithIndicesBackward                 73.900us        361.562us                1         73.900us        361.562us
max_pool2d_with_indices_backward             53.603us        358.500us                1         53.603us        358.500us
ThresholdBackward1                           81.406us        213.875us                1         81.406us        213.875us
threshold_backward                           64.250us        210.875us                1         64.250us        210.875us
CudnnBatchNormBackward                      143.443us       1258.938us                1        143.443us       1258.938us
contiguous                                    6.720us          1.562us                1          6.720us          1.562us
cudnn_batch_norm_backward                    92.436us       1252.688us                1         92.436us       1252.688us
torch::autograd::AccumulateGrad               9.290us          1.625us                1          9.290us          1.625us
torch::autograd::AccumulateGrad               6.527us          1.562us                1          6.527us          1.562us
CudnnConvolutionBackward                   1817.601us       5647.750us                1       1817.601us       5647.750us
cudnn_convolution_backward                 1793.328us       5644.500us                1       1793.328us       5644.500us
torch::autograd::AccumulateGrad              10.506us          1.750us                1         10.506us          1.750us
torch::autograd::AccumulateGrad               6.984us          1.562us                1          6.984us          1.562us
ThresholdBackward1                           90.236us        192.562us                1         90.236us        192.562us
threshold_backward                           62.196us        189.438us                1         62.196us        189.438us
CudnnBatchNormBackward                      145.206us       1234.188us                1        145.206us       1234.188us
contiguous                                    7.293us          1.688us                1          7.293us          1.688us
cudnn_batch_norm_backward                    92.950us       1227.938us                1         92.950us       1227.938us
torch::autograd::AccumulateGrad               9.716us          1.562us                1          9.716us          1.562us
torch::autograd::AccumulateGrad               6.650us          1.625us                1          6.650us          1.625us
CudnnConvolutionBackward                    265.426us        997.125us                1        265.426us        997.125us
cudnn_convolution_backward                  242.292us        994.062us                1        242.292us        994.062us
torch::autograd::AccumulateGrad               9.517us          2.250us                1          9.517us          2.250us
torch::autograd::AccumulateGrad               7.146us          1.500us                1          7.146us          1.500us
HookFuncBackward                             35.977us          1.562us                1         35.977us          1.562us
torch::autograd::AccumulateGrad              97.866us         16.000us                1         97.866us         16.000us
clone                                        84.950us         12.875us                1         84.950us         12.875us
to                                        11872.195us         96.125us                1      11872.195us         96.125us
empty                                       409.618us          1.625us                1        409.618us          1.625us
is_floating_point                             5.666us          5.562us                1          5.666us          5.562us
HookFunc                                     88.143us         87.500us                1         88.143us         87.500us
view_as                                      38.237us         37.938us                1         38.237us         37.938us
view                                         25.826us         25.812us                1         25.826us         25.812us
conv2d                                      246.153us        651.250us                1        246.153us        651.250us
convolution                                 234.036us        642.625us                1        234.036us        642.625us
_convolution                                223.039us        635.250us                1        223.039us        635.250us
contiguous                                    6.671us          6.312us                1          6.671us          6.312us
empty                                        10.643us         10.562us                1         10.643us         10.562us
cudnn_convolution                           170.833us        591.438us                1        170.833us        591.438us
add_                                         53.728us         10.062us                1         53.728us         10.062us
batch_norm                                  185.900us       1543.000us                1        185.900us       1543.000us
_batch_norm_impl_index                      171.310us       1539.812us                1        171.310us       1539.812us
contiguous                                    6.325us          1.562us                1          6.325us          1.562us
contiguous                                    4.371us          1.562us                1          4.371us          1.562us
contiguous                                    4.980us          1.625us                1          4.980us          1.625us
contiguous                                    4.286us          1.625us                1          4.286us          1.625us
contiguous                                    4.552us          1.562us                1          4.552us          1.562us
cudnn_batch_norm                            106.108us       1520.438us                1        106.108us       1520.438us
threshold_                                   54.140us        142.625us                1         54.140us        142.625us
conv2d                                      928.057us       3147.188us                1        928.057us       3147.188us
convolution                                 227.029us       3144.062us                1        227.029us       3144.062us
_convolution                                212.014us       3140.750us                1        212.014us       3140.750us
contiguous                                    6.243us          1.562us                1          6.243us          1.562us
empty                                        11.534us          1.500us                1         11.534us          1.500us
cudnn_convolution                           161.064us       3131.250us                1        161.064us       3131.250us
add_                                         49.182us          8.125us                1         49.182us          8.125us
batch_norm                                  174.519us       1550.188us                1        174.519us       1550.188us
_batch_norm_impl_index                      161.219us       1547.062us                1        161.219us       1547.062us
contiguous                                    5.824us          1.625us                1          5.824us          1.625us
contiguous                                    4.200us          1.562us                1          4.200us          1.562us
contiguous                                    4.342us          1.500us                1          4.342us          1.500us
contiguous                                    4.432us          1.562us                1          4.432us          1.562us
contiguous                                    4.448us          1.938us                1          4.448us          1.938us
cudnn_batch_norm                             99.559us       1527.500us                1         99.559us       1527.500us
threshold_                                   57.620us        143.812us                1         57.620us        143.812us
max_pool2d_with_indices                      56.650us        170.688us                1         56.650us        170.688us
conv2d                                      214.209us       1332.438us                1        214.209us       1332.438us
convolution                                 202.701us       1329.312us                1        202.701us       1329.312us
_convolution                                192.164us       1326.188us                1        192.164us       1326.188us
contiguous                                    5.432us          1.625us                1          5.432us          1.625us
empty                                         9.878us          1.562us                1          9.878us          1.562us
cudnn_convolution                           145.929us       1316.562us                1        145.929us       1316.562us
add_                                         48.462us          8.312us                1         48.462us          8.312us
batch_norm                                  167.681us        629.250us                1        167.681us        629.250us
_batch_norm_impl_index                      154.524us        626.125us                1        154.524us        626.125us
contiguous                                    5.645us          1.625us                1          5.645us          1.625us
contiguous                                    4.462us          1.562us                1          4.462us          1.562us
contiguous                                    4.195us          1.562us                1          4.195us          1.562us
contiguous                                    4.600us          1.562us                1          4.600us          1.562us
contiguous                                    4.355us          1.938us                1          4.355us          1.938us
cudnn_batch_norm                             92.849us        606.812us                1         92.849us        606.812us
