------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                         CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
MaxPool2DWithIndicesBackward                 82.227us        362.375us                1         82.227us        362.375us
max_pool2d_with_indices_backward             59.560us        359.250us                1         59.560us        359.250us
ThresholdBackward1                           71.804us        214.750us                1         71.804us        214.750us
threshold_backward                           54.367us        211.625us                1         54.367us        211.625us
CudnnBatchNormBackward                      147.200us       1226.375us                1        147.200us       1226.375us
contiguous                                    7.143us          1.875us                1          7.143us          1.875us
cudnn_batch_norm_backward                    94.256us       1218.500us                1         94.256us       1218.500us
torch::autograd::AccumulateGrad              40.363us         33.750us                1         40.363us         33.750us
torch::autograd::AccumulateGrad              25.643us         32.750us                1         25.643us         32.750us
CudnnConvolutionBackward                   1387.916us       5630.625us                1       1387.916us       5630.625us
cudnn_convolution_backward                 1362.592us       5627.375us                1       1362.592us       5627.375us
torch::autograd::AccumulateGrad              42.583us          9.000us                1         42.583us          9.000us
torch::autograd::AccumulateGrad              26.163us          5.875us                1         26.163us          5.875us
ThresholdBackward1                           68.943us        191.125us                1         68.943us        191.125us
threshold_backward                           50.307us        188.000us                1         50.307us        188.000us
CudnnBatchNormBackward                      150.997us       1222.750us                1        150.997us       1222.750us
contiguous                                    7.543us          1.625us                1          7.543us          1.625us
cudnn_batch_norm_backward                    93.613us       1216.500us                1         93.613us       1216.500us
torch::autograd::AccumulateGrad              39.576us          7.000us                1         39.576us          7.000us
torch::autograd::AccumulateGrad              25.067us          5.750us                1         25.067us          5.750us
CudnnConvolutionBackward                    272.953us       1007.375us                1        272.953us       1007.375us
cudnn_convolution_backward                  248.333us       1004.000us                1        248.333us       1004.000us
torch::autograd::AccumulateGrad              42.913us          6.625us                1         42.913us          6.625us
torch::autograd::AccumulateGrad              26.730us          7.750us                1         26.730us          7.750us
HookFuncBackward                             24.117us          1.625us                1         24.117us          1.625us
torch::autograd::AccumulateGrad              70.576us         15.500us                1         70.576us         15.500us
clone                                        56.833us         12.375us                1         56.833us         12.375us
div_                                         73.910us          7.875us                1         73.910us          7.875us
div_                                         38.404us          5.750us                1         38.404us          5.750us
div_                                         32.859us          5.750us                1         32.859us          5.750us
div_                                         32.570us          5.750us                1         32.570us          5.750us
div_                                         32.000us          7.500us                1         32.000us          7.500us
div_                                         30.006us          5.875us                1         30.006us          5.875us
div_                                         29.370us          5.750us                1         29.370us          5.750us
div_                                         29.120us          5.750us                1         29.120us          5.750us
div_                                         29.904us         10.125us                1         29.904us         10.125us
div_                                         29.323us          6.000us                1         29.323us          6.000us
div_                                         29.707us          6.125us                1         29.707us          6.125us
div_                                         32.316us          5.750us                1         32.316us          5.750us
div_                                         43.814us         11.375us                1         43.814us         11.375us
div_                                         31.583us          5.750us                1         31.583us          5.750us
div_                                         30.010us          5.750us                1         30.010us          5.750us
div_                                         29.980us          5.875us                1         29.980us          5.875us
add_                                         38.193us          5.875us                1         38.193us          5.875us
mul_                                         42.993us          7.875us                1         42.993us          7.875us
add_                                         30.296us          5.750us                1         30.296us          5.750us
add_                                         32.313us          5.750us                1         32.313us          5.750us
add_                                         27.907us          5.625us                1         27.907us          5.625us
mul_                                         36.130us          5.625us                1         36.130us          5.625us
add_                                         27.983us          6.000us                1         27.983us          6.000us
add_                                         26.820us          5.750us                1         26.820us          5.750us
add_                                         34.677us          5.750us                1         34.677us          5.750us
mul_                                         34.823us          5.625us                1         34.823us          5.625us
add_                                         27.937us          5.625us                1         27.937us          5.625us
add_                                         26.463us          5.750us                1         26.463us          5.750us
add_                                         25.420us          5.750us                1         25.420us          5.750us
mul_                                         33.580us          5.750us                1         33.580us          5.750us
add_                                         26.897us          5.750us                1         26.897us          5.750us
add_                                         26.046us          5.750us                1         26.046us          5.750us
add_                                         34.510us          7.375us                1         34.510us          7.375us
mul_                                         35.383us          7.375us                1         35.383us          7.375us
add_                                         27.019us          8.625us                1         27.019us          8.625us
add_                                         25.260us          8.500us                1         25.260us          8.500us
add_                                         24.790us          5.750us                1         24.790us          5.750us
mul_                                         33.750us          5.625us                1         33.750us          5.625us
add_                                         26.287us          5.625us                1         26.287us          5.625us
add_                                         25.537us          5.750us                1         25.537us          5.750us
add_                                         27.996us          5.750us                1         27.996us          5.750us
mul_                                         34.060us          5.750us                1         34.060us          5.750us
add_                                         26.623us          7.625us                1         26.623us          7.625us
add_                                         28.956us          5.750us                1         28.956us          5.750us
add_                                         25.776us          5.750us                1         25.776us          5.750us
mul_                                         33.357us          5.625us                1         33.357us          5.625us
add_                                         26.333us          5.750us                1         26.333us          5.750us
add_                                         25.337us          5.750us                1         25.337us          5.750us
add_                                         25.450us          8.875us                1         25.450us          8.875us
mul_                                         33.343us          8.875us                1         33.343us          8.875us
add_                                         30.363us          8.375us                1         30.363us          8.375us
add_                                         25.236us          8.125us                1         25.236us          8.125us
add_                                         24.390us          5.750us                1         24.390us          5.750us
mul_                                         32.813us          5.750us                1         32.813us          5.750us
add_                                         25.906us          5.750us                1         25.906us          5.750us
add_                                         24.580us          5.875us                1         24.580us          5.875us
add_                                         24.040us          5.750us                1         24.040us          5.750us
mul_                                         33.093us          7.750us                1         33.093us          7.750us
add_                                         29.347us          5.750us                1         29.347us          5.750us
add_                                         25.423us          5.750us                1         25.423us          5.750us
add_                                         25.266us          5.750us                1         25.266us          5.750us
mul_                                         32.630us          5.625us                1         32.630us          5.625us
add_                                         26.560us          5.625us                1         26.560us          5.625us
add_                                         25.083us          5.625us                1         25.083us          5.625us
add_                                         25.120us         14.500us                1         25.120us         14.500us
mul_                                         33.500us         11.250us                1         33.500us         11.250us
add_                                         30.527us         11.000us                1         30.527us         11.000us
add_                                         25.320us         11.250us                1         25.320us         11.250us
add_                                         24.990us          5.750us                1         24.990us          5.750us
mul_                                         33.283us          5.750us                1         33.283us          5.750us
add_                                         26.083us          5.875us                1         26.083us          5.875us
add_                                         71.113us          5.750us                1         71.113us          5.750us
add_                                         27.990us          5.750us                1         27.990us          5.750us
mul_                                         35.917us          5.750us                1         35.917us          5.750us
add_                                         31.080us          5.625us                1         31.080us          5.625us
add_                                         26.253us          5.750us                1         26.253us          5.750us
add_                                         25.530us          5.750us                1         25.530us          5.750us
mul_                                         33.729us          5.750us                1         33.729us          5.750us
add_                                         26.924us          5.750us                1         26.924us          5.750us
add_                                         25.486us          5.625us                1         25.486us          5.625us
detach_                                       5.680us          1.625us                1          5.680us          1.625us
zero_                                        29.460us         13.000us                1         29.460us         13.000us
detach_                                       5.387us          2.000us                1          5.387us          2.000us
zero_                                        13.320us          4.250us                1         13.320us          4.250us
detach_                                       4.687us          1.875us                1          4.687us          1.875us
zero_                                        12.853us          3.750us                1         12.853us          3.750us
detach_                                       4.357us          1.875us                1          4.357us          1.875us
zero_                                        12.186us          3.750us                1         12.186us          3.750us
detach_                                       4.360us          2.000us                1          4.360us          2.000us
zero_                                        23.863us         11.750us                1         23.863us         11.750us
detach_                                       5.093us          1.500us                1          5.093us          1.500us
zero_                                        14.070us          6.000us                1         14.070us          6.000us
detach_                                       4.457us          1.875us                1          4.457us          1.875us
zero_                                        12.303us          3.750us                1         12.303us          3.750us
detach_                                       5.233us          1.875us                1          5.233us          1.875us
zero_                                        11.673us          3.875us                1         11.673us          3.875us
detach_                                       4.887us          1.750us                1          4.887us          1.750us
zero_                                        17.213us         10.875us                1         17.213us         10.875us
detach_                                       4.580us          1.750us                1          4.580us          1.750us
zero_                                        14.117us          8.625us                1         14.117us          8.625us
detach_                                       4.950us          2.000us                1          4.950us          2.000us
zero_                                        12.236us          3.750us                1         12.236us          3.750us
detach_                                       4.520us          2.125us                1          4.520us          2.125us
zero_                                        12.207us          3.875us                1         12.207us          3.875us
detach_                                       4.623us          2.000us                1          4.623us          2.000us
zero_                                        22.277us         13.500us                1         22.277us         13.500us
detach_                                       5.066us          1.375us                1          5.066us          1.375us
zero_                                        13.443us          5.750us                1         13.443us          5.750us
detach_                                       4.687us          2.125us                1          4.687us          2.125us
zero_                                        12.674us          3.750us                1         12.674us          3.750us
detach_                                       4.743us          1.875us                1          4.743us          1.875us
zero_                                        11.566us          3.875us                1         11.566us          3.875us
to                                         9278.404us         91.000us                1       9278.404us         91.000us
empty                                        20.510us          2.000us                1         20.510us          2.000us
is_floating_point                             6.073us          5.875us                1          6.073us          5.875us
HookFunc                                     82.020us         81.375us                1         82.020us         81.375us
view_as                                      39.503us         38.875us                1         39.503us         38.875us
view                                         27.549us         27.625us                1         27.549us         27.625us
conv2d                                      271.846us        669.625us                1        271.846us        669.625us
convolution                                 258.266us        660.750us                1        258.266us        660.750us
_convolution                                246.446us        652.875us                1        246.446us        652.875us
contiguous                                    6.967us          6.875us                1          6.967us          6.875us
empty                                        12.186us         11.625us                1         12.186us         11.625us
cudnn_convolution                           189.266us        605.625us                1        189.266us        605.625us
add_                                         56.049us          8.375us                1         56.049us          8.375us
batch_norm                                  204.270us       1578.500us                1        204.270us       1578.500us
_batch_norm_impl_index                      188.856us       1575.250us                1        188.856us       1575.250us
contiguous                                    6.956us          1.500us                1          6.956us          1.500us
contiguous                                    4.894us          1.625us                1          4.894us          1.625us
contiguous                                    5.150us          1.750us                1          5.150us          1.750us
contiguous                                    5.043us          1.625us                1          5.043us          1.625us
contiguous                                    5.017us          1.625us                1          5.017us          1.625us
cudnn_batch_norm                            116.633us       1554.750us                1        116.633us       1554.750us
threshold_                                   58.560us        142.875us                1         58.560us        142.875us
conv2d                                      239.453us       3143.000us                1        239.453us       3143.000us
convolution                                 226.586us       3139.750us                1        226.586us       3139.750us
_convolution                                215.016us       3136.500us                1        215.016us       3136.500us
contiguous                                    6.067us          1.625us                1          6.067us          1.625us
empty                                        11.793us          1.625us                1         11.793us          1.625us
cudnn_convolution                           160.409us       3127.125us                1        160.409us       3127.125us
add_                                         53.670us          8.250us                1         53.670us          8.250us
batch_norm                                  212.706us       1545.875us                1        212.706us       1545.875us
_batch_norm_impl_index                      197.669us       1542.750us                1        197.669us       1542.750us
contiguous                                    6.457us          1.625us                1          6.457us          1.625us
contiguous                                    4.987us          1.625us                1          4.987us          1.625us
contiguous                                    4.646us          2.000us                1          4.646us          2.000us
contiguous                                    4.753us          1.625us                1          4.753us          1.625us
contiguous                                    4.897us          1.625us                1          4.897us          1.625us
cudnn_batch_norm                            127.196us       1522.625us                1        127.196us       1522.625us
threshold_                                   57.250us        142.750us                1         57.250us        142.750us
max_pool2d_with_indices                      64.947us        170.750us                1         64.947us        170.750us
conv2d                                      252.214us       1335.375us                1        252.214us       1335.375us
convolution                                 238.782us       1332.375us                1        238.782us       1332.375us
_convolution                                227.259us       1329.125us                1        227.259us       1329.125us
contiguous                                    6.877us          1.500us                1          6.877us          1.500us
empty                                        11.126us          1.625us                1         11.126us          1.625us
cudnn_convolution                           174.302us       1319.125us                1        174.302us       1319.125us
add_                                         50.171us          8.125us                1         50.171us          8.125us
batch_norm                                  182.853us        629.000us                1        182.853us        629.000us
_batch_norm_impl_index                      168.414us        625.250us                1        168.414us        625.250us
contiguous                                    6.685us          1.625us                1          6.685us          1.625us
contiguous                                    4.460us          1.500us                1          4.460us          1.500us
contiguous                                    4.740us          1.625us                1          4.740us          1.625us
contiguous                                    4.496us          1.625us                1          4.496us          1.625us
contiguous                                    4.571us          1.500us                1          4.571us          1.500us
cudnn_batch_norm                            101.931us        605.375us                1        101.931us        605.375us
threshold_                                   52.860us         75.000us                1         52.860us         75.000us
conv2d                                      227.579us       2463.250us                1        227.579us       2463.250us
convolution                                 215.459us       2460.125us                1        215.459us       2460.125us
_convolution                                204.225us       2456.875us                1        204.225us       2456.875us
contiguous                                    5.875us          1.625us                1          5.875us          1.625us
empty                                        10.560us          1.625us                1         10.560us          1.625us
cudnn_convolution                           154.011us       2446.375us                1        154.011us       2446.375us
add_                                         49.911us          8.250us                1         49.911us          8.250us
batch_norm                                  185.154us        624.125us                1        185.154us        624.125us
_batch_norm_impl_index                      170.960us        620.625us                1        170.960us        620.625us
contiguous                                    5.977us          1.625us                1          5.977us          1.625us
contiguous                                    5.139us          1.500us                1          5.139us          1.500us
contiguous                                    4.725us          1.625us                1          4.725us          1.625us
contiguous                                    4.694us          1.625us                1          4.694us          1.625us
contiguous                                    4.452us          1.750us                1          4.452us          1.750us
cudnn_batch_norm                            101.089us        601.375us                1        101.089us        601.375us
threshold_                                   53.031us         74.750us                1         53.031us         74.750us
max_pool2d_with_indices                      57.264us         93.000us                1         57.264us         93.000us
to                                        11313.079us       2034.500us                1      11313.079us       2034.500us
empty                                        37.608us          1.500us                1         37.608us          1.500us
to                                          584.560us        578.500us                1        584.560us        578.500us
empty                                        19.513us         19.625us                1         19.513us         19.625us
torch::autograd::GraphRoot                   12.523us          6.125us                1         12.523us          6.125us
MaxPool2DWithIndicesBackward                 88.106us        245.625us                1         88.106us        245.625us
max_pool2d_with_indices_backward             57.280us        225.375us                1         57.280us        225.375us
ThresholdBackward1                           89.823us        101.125us                1         89.823us        101.125us
threshold_backward                           59.366us         97.875us                1         59.366us         97.875us
CudnnBatchNormBackward                      153.876us        496.000us                1        153.876us        496.000us
contiguous                                    7.263us          1.625us                1          7.263us          1.625us
cudnn_batch_norm_backward                    99.549us        489.000us                1         99.549us        489.000us
torch::autograd::AccumulateGrad              42.480us         31.125us                1         42.480us         31.125us
torch::autograd::AccumulateGrad              26.134us         31.000us                1         26.134us         31.000us
CudnnConvolutionBackward                    621.931us       3976.250us                1        621.931us       3976.250us
cudnn_convolution_backward                  597.188us       3973.250us                1        597.188us       3973.250us
torch::autograd::AccumulateGrad              40.423us         34.500us                1         40.423us         34.500us
torch::autograd::AccumulateGrad              26.383us         34.000us                1         26.383us         34.000us
ThresholdBackward1                           67.020us        129.125us                1         67.020us        129.125us
threshold_backward                           48.730us        126.000us                1         48.730us        126.000us
CudnnBatchNormBackward                      154.129us        509.250us                1        154.129us        509.250us
contiguous                                    7.370us          1.625us                1          7.370us          1.625us
cudnn_batch_norm_backward                    95.983us        502.875us                1         95.983us        502.875us
torch::autograd::AccumulateGrad              56.439us         33.750us                1         56.439us         33.750us
torch::autograd::AccumulateGrad              27.517us         34.250us                1         27.517us         34.250us
CudnnConvolutionBackward                    572.218us       2685.375us                1        572.218us       2685.375us
cudnn_convolution_backward                  547.498us       2682.250us                1        547.498us       2682.250us
torch::autograd::AccumulateGrad              76.620us         33.000us                1         76.620us         33.000us
torch::autograd::AccumulateGrad              30.510us         33.125us                1         30.510us         33.125us
MaxPool2DWithIndicesBackward                 82.739us        373.500us                1         82.739us        373.500us
max_pool2d_with_indices_backward             49.277us        370.375us                1         49.277us        370.375us
ThresholdBackward1                           67.593us        194.750us                1         67.593us        194.750us
threshold_backward                           50.920us        191.625us                1         50.920us        191.625us
CudnnBatchNormBackward                      141.663us       1229.750us                1        141.663us       1229.750us
contiguous                                    7.083us          1.625us                1          7.083us          1.625us
cudnn_batch_norm_backward                    89.146us       1223.500us                1         89.146us       1223.500us
torch::autograd::AccumulateGrad              43.163us         33.125us                1         43.163us         33.125us
torch::autograd::AccumulateGrad              25.567us         32.750us                1         25.567us         32.750us
CudnnConvolutionBackward                   1342.146us       5608.625us                1       1342.146us       5608.625us
cudnn_convolution_backward                 1318.069us       5605.500us                1       1318.069us       5605.500us
torch::autograd::AccumulateGrad              39.869us          8.750us                1         39.869us          8.750us
torch::autograd::AccumulateGrad              25.096us          5.750us                1         25.096us          5.750us
ThresholdBackward1                           84.566us        190.125us                1         84.566us        190.125us
threshold_backward                           66.597us        186.875us                1         66.597us        186.875us
CudnnBatchNormBackward                      144.490us       1226.875us                1        144.490us       1226.875us
contiguous                                    7.700us          1.750us                1          7.700us          1.750us
cudnn_batch_norm_backward                    91.797us       1220.500us                1         91.797us       1220.500us
torch::autograd::AccumulateGrad              39.540us          6.375us                1         39.540us          6.375us
torch::autograd::AccumulateGrad              28.543us          5.750us                1         28.543us          5.750us
CudnnConvolutionBackward                    231.516us       1005.500us                1        231.516us       1005.500us
cudnn_convolution_backward                  208.329us       1002.375us                1        208.329us       1002.375us
torch::autograd::AccumulateGrad              37.313us          6.500us                1         37.313us          6.500us
torch::autograd::AccumulateGrad              24.973us          5.750us                1         24.973us          5.750us
HookFuncBackward                             23.020us          1.500us                1         23.020us          1.500us
torch::autograd::AccumulateGrad              67.430us         15.125us                1         67.430us         15.125us
clone                                        54.300us         12.000us                1         54.300us         12.000us
to                                        13442.671us         95.375us                1      13442.671us         95.375us
empty                                        20.890us          1.500us                1         20.890us          1.500us
is_floating_point                             4.971us          4.750us                1          4.971us          4.750us
HookFunc                                     79.048us         78.500us                1         79.048us         78.500us
view_as                                      38.431us         37.625us                1         38.431us         37.625us
view                                         26.157us         26.375us                1         26.157us         26.375us
conv2d                                      268.391us        666.875us                1        268.391us        666.875us
convolution                                 255.537us        658.250us                1        255.537us        658.250us
_convolution                                244.988us        650.875us                1        244.988us        650.875us
contiguous                                    6.578us          6.500us                1          6.578us          6.500us
empty                                        11.828us         10.750us                1         11.828us         10.750us
cudnn_convolution                           190.103us        605.375us                1        190.103us        605.375us
add_                                         54.797us          8.125us                1         54.797us          8.125us
batch_norm                                  185.060us       1573.625us                1        185.060us       1573.625us
_batch_norm_impl_index                      170.971us       1570.375us                1        170.971us       1570.375us
contiguous                                    6.139us          1.625us                1          6.139us          1.625us
contiguous                                    4.492us          1.500us                1          4.492us          1.500us
contiguous                                    4.331us          2.000us                1          4.331us          2.000us
contiguous                                    4.334us          1.625us                1          4.334us          1.625us
contiguous                                    4.892us          1.625us                1          4.892us          1.625us
cudnn_batch_norm                            105.414us       1550.875us                1        105.414us       1550.875us
threshold_                                   54.920us        142.500us                1         54.920us        142.500us
conv2d                                      219.033us       3136.375us                1        219.033us       3136.375us
convolution                                 206.808us       3133.250us                1        206.808us       3133.250us
_convolution                                196.119us       3130.000us                1        196.119us       3130.000us
contiguous                                    5.540us          1.625us                1          5.540us          1.625us
empty                                        10.860us          1.625us                1         10.860us          1.625us
cudnn_convolution                           146.211us       3120.500us                1        146.211us       3120.500us
add_                                         49.283us          8.375us                1         49.283us          8.375us
batch_norm                                  179.665us       1543.625us                1        179.665us       1543.625us
_batch_norm_impl_index                      165.930us       1540.250us                1        165.930us       1540.250us
contiguous                                    6.194us          1.500us                1          6.194us          1.500us
contiguous                                    4.594us          1.625us                1          4.594us          1.625us
contiguous                                    4.628us          1.625us                1          4.628us          1.625us
contiguous                                    4.614us          1.625us                1          4.614us          1.625us
contiguous                                    4.680us          2.125us                1          4.680us          2.125us
cudnn_batch_norm                            100.280us       1520.875us                1        100.280us       1520.875us
threshold_                                   52.637us        142.000us                1         52.637us        142.000us
max_pool2d_with_indices                      60.751us        172.750us                1         60.751us        172.750us
conv2d                                      224.505us       1341.375us                1        224.505us       1341.375us
convolution                                 212.062us       1338.250us                1        212.062us       1338.250us
_convolution                                201.265us       1334.875us                1        201.265us       1334.875us
contiguous                                    6.149us          1.500us                1          6.149us          1.500us
empty                                        10.637us          1.625us                1         10.637us          1.625us
cudnn_convolution                           150.494us       1325.000us                1        150.494us       1325.000us
add_                                         48.605us          8.125us                1         48.605us          8.125us
batch_norm                                  178.614us        631.875us                1        178.614us        631.875us
_batch_norm_impl_index                      164.159us        628.250us                1        164.159us        628.250us
contiguous                                    6.047us          1.750us                1          6.047us          1.750us
contiguous                                    4.613us          1.500us                1          4.613us          1.500us
contiguous                                    4.751us          1.625us                1          4.751us          1.625us
contiguous                                    5.028us          1.625us                1          5.028us          1.625us
contiguous                                    4.326us          1.625us                1          4.326us          1.625us
cudnn_batch_norm                             98.482us        608.750us                1         98.482us        608.750us
threshold_                                   49.683us         76.500us                1         49.683us         76.500us
conv2d                                      221.416us       2466.375us                1        221.416us       2466.375us
convolution                                 209.983us       2463.250us                1        209.983us       2463.250us
_convolution                                199.439us       2459.875us                1        199.439us       2459.875us
contiguous                                    5.957us          1.625us                1          5.957us          1.625us
empty                                        10.209us          1.500us                1         10.209us          1.500us
cudnn_convolution                           150.437us       2450.250us                1        150.437us       2450.250us
add_                                         47.945us          8.375us                1         47.945us          8.375us
batch_norm                                  195.942us        625.875us                1        195.942us        625.875us
_batch_norm_impl_index                      182.093us        622.375us                1        182.093us        622.375us
contiguous                                    5.811us          1.625us                1          5.811us          1.625us
contiguous                                    4.428us          1.750us                1          4.428us          1.750us
contiguous                                    4.437us          1.875us                1          4.437us          1.875us
contiguous                                    4.583us          1.625us                1          4.583us          1.625us
contiguous                                    4.403us          1.625us                1          4.403us          1.625us
cudnn_batch_norm                            117.306us        602.750us                1        117.306us        602.750us
threshold_                                   49.632us         76.000us                1         49.632us         76.000us
max_pool2d_with_indices                      56.500us         92.750us                1         56.500us         92.750us
to                                         9966.777us        482.375us                1       9966.777us        482.375us
empty                                        18.303us          1.500us                1         18.303us          1.500us
to                                          567.169us        561.500us                1        567.169us        561.500us
empty                                        19.750us         20.000us                1         19.750us         20.000us
torch::autograd::GraphRoot                   12.620us          5.625us                1         12.620us          5.625us
MaxPool2DWithIndicesBackward                109.333us        265.000us                1        109.333us        265.000us
max_pool2d_with_indices_backward             61.323us        230.000us                1         61.323us        230.000us
ThresholdBackward1                           75.517us        101.125us                1         75.517us        101.125us
threshold_backward                           57.424us         97.875us                1         57.424us         97.875us
CudnnBatchNormBackward                      153.607us        498.500us                1        153.607us        498.500us
contiguous                                    7.403us          1.750us                1          7.403us          1.750us
cudnn_batch_norm_backward                    97.783us        491.875us                1         97.783us        491.875us
torch::autograd::AccumulateGrad              42.533us         31.250us                1         42.533us         31.250us
torch::autograd::AccumulateGrad              26.783us         31.000us                1         26.783us         31.000us
CudnnConvolutionBackward                    640.764us       4017.375us                1        640.764us       4017.375us
cudnn_convolution_backward                  616.255us       4013.875us                1        616.255us       4013.875us
torch::autograd::AccumulateGrad              38.966us         34.500us                1         38.966us         34.500us
torch::autograd::AccumulateGrad              26.106us         34.625us                1         26.106us         34.625us
ThresholdBackward1                           82.477us        103.250us                1         82.477us        103.250us
threshold_backward                           52.630us        100.375us                1         52.630us        100.375us
CudnnBatchNormBackward                      145.353us        505.625us                1        145.353us        505.625us
contiguous                                    6.960us          1.500us                1          6.960us          1.500us
cudnn_batch_norm_backward                    94.056us        498.875us                1         94.056us        498.875us
torch::autograd::AccumulateGrad              38.480us         34.625us                1         38.480us         34.625us
torch::autograd::AccumulateGrad              24.899us         34.500us                1         24.899us         34.500us
CudnnConvolutionBackward                    565.718us       2598.375us                1        565.718us       2598.375us
cudnn_convolution_backward                  541.868us       2595.500us                1        541.868us       2595.500us
torch::autograd::AccumulateGrad              38.907us         33.250us                1         38.907us         33.250us
torch::autograd::AccumulateGrad              24.873us         33.000us                1         24.873us         33.000us
MaxPool2DWithIndicesBackward                 66.227us        365.000us                1         66.227us        365.000us
